id,login,password_hash,first_name,last_name,authority,email,phone_number,notes,organization_id,org_role,fourteen_plus,guardian_first_name,guardian_last_name,guardian_email,guardian_phone,school,grade_level,state_student_id,org_student_id,created_by,created_date,last_modified_by,last_modified_date
68,epatrick,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Elizabeth,Patrick,ROLE_STUDENT,null,(303) 080-7642,,3,null,0,Van,Patrick,patrick6695@aol.com,(720) 764-2152,"Dr. Martin Luther King, Jr. Early College Middle School",SEVENTH,977330838,856450,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
69,nmiller,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Nikki,Miller,ROLE_STUDENT,miller9853@icloud.com,(303) 142-0289,,3,null,1,Amanda,Miller,Amanda.Miller@gmail.com,(303) 488-4621,Abraham Lincoln High School,TENTH,734726079,330941,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
70,tschmidt,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Troy,Schmidt,ROLE_STUDENT,null,(303) 682-5475,,3,null,0,Arthur,Schmidt,Arthur.Schmidt@gmail.com,(303) 767-1876,Vista Academy Middle School,EIGHTH,083787906,142037,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
71,dstinson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Dorothy,Stinson,ROLE_STUDENT,dstinson@yahoo.com,(303) 425-0961,,3,null,1,Brenda,Stinson,bstinson@icloud.com,(303) 479-1557,North High School,NINTH,921817769,810232,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
72,mherrera,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Mary,Herrera,ROLE_STUDENT,Mary.Herrera@sbcglobal.net,(303) 549-8186,,3,null,1,Tonia,Herrera,herrera5205@yahoo.com,(303) 167-7770,North High School,TWELFTH,476634164,306930,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
73,ljones,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lloyd,Jones,ROLE_STUDENT,null,(720) 717-1865,,3,null,0,Kenneth,Jones,Kenneth.Jones@gmail.com,(720) 059-2093,Byers Middle School,EIGHTH,731349524,140926,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
74,jjohnson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joseph,Johnson,ROLE_STUDENT,jjohnson@gmail.com,(303) 780-9566,,3,null,1,Barbara,Johnson,johnson8676@icloud.com,(303) 682-8803,Abraham Lincoln High School,TWELFTH,062915818,998731,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
75,ejackson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Earnest,Jackson,ROLE_STUDENT,null,(720) 692-0039,,3,null,0,Brian,Jackson,Brian.Jackson@gmail.com,(720) 619-8095,Morey Middle School,SEVENTH,325331272,508523,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
76,grodriquez,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Glenn,Rodriquez,ROLE_STUDENT,Glenn.Rodriquez@outlook.com,(720) 217-0821,,3,null,1,Jeremiah,Rodriquez,Jeremiah.Rodriquez@gmail.com,(303) 749-6185,East High School,NINTH,120773485,784368,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
77,jmurphy,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Judith,Murphy,ROLE_STUDENT,Judith.Murphy@aol.com,(720) 012-8224,,3,null,1,Reba,Murphy,murphy4336@sbcglobal.net,(303) 596-6729,Abraham Lincoln High School,TENTH,123044684,523110,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
78,fmayfield,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Frank,Mayfield,ROLE_STUDENT,fmayfield@gmail.com,(303) 925-0810,,3,null,1,Linda,Marinello,marinello2375@gmail.com,(303) 845-8891,Abraham Lincoln High School,TWELFTH,779449597,588375,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
79,jleonhardt,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jerrold,Leonhardt,ROLE_STUDENT,jleonhardt@gmail.com,(720) 164-4322,,3,null,1,Mary,Leonhardt,Mary.Leonhardt@sbcglobal.net,(303) 826-8340,Compassion Road Academy,TWELFTH,904749194,966067,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
80,terwin,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Twyla,Erwin,ROLE_STUDENT,Twyla.Erwin@sbcglobal.net,(720) 380-5486,,3,null,1,Charles,Erwin,Charles.Erwin@gmail.com,(720) 078-6331,North High School,TWELFTH,214743860,876437,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
81,areeder,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Alfonso,Reeder,ROLE_STUDENT,Alfonso.Reeder@outlook.com,(720) 440-9140,,3,null,1,Douglas,Reeder,dreeder@icloud.com,(720) 977-9729,North High School,TENTH,210677056,611758,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
82,agreen,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Amber,Green,ROLE_STUDENT,agreen@gmail.com,(720) 992-0830,,3,null,1,Jeff,Green,green9820@yahoo.com,(720) 148-1931,Dr. Martin Luther King Jr. Early College High School,NINTH,796223057,910788,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
83,mbailey,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Michael,Bailey,ROLE_STUDENT,bailey1955@outlook.com,(303) 350-1171,,3,null,1,Dustin,Bergman,Dustin.Bergman@yahoo.com,(720) 682-4829,Dr. Martin Luther King Jr. Early College High School,TWELFTH,689566279,928615,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
84,mgaylor,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Maureen,Gaylor,ROLE_STUDENT,null,(720) 693-5899,,3,null,0,John,Gaylor,John.Gaylor@aol.com,(303) 485-1524,Wyatt Academy Middle School,SEVENTH,985964877,198777,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
85,esliger,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Eleanor,Sliger,ROLE_STUDENT,null,(303) 934-8480,,3,null,0,Douglas,Khan,Douglas.Khan@yahoo.com,(720) 883-7150,Bruce Randolph Middle School,SIXTH,243546674,821633,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
86,jlucas,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joseph,Lucas,ROLE_STUDENT,null,(720) 733-3045,,3,null,0,Florence,Lucas,Florence.Lucas@outlook.com,(303) 464-5778,Bruce Randolph Middle School,SIXTH,317538081,496927,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
87,ynooney,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Yvonne,Nooney,ROLE_STUDENT,Yvonne.Nooney@yahoo.com,(720) 687-3293,,3,null,1,Don,Nooney,dnooney@aol.com,(303) 492-7563,Dr. Martin Luther King Jr. Early College High School,ELEVENTH,527568127,649481,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
88,bcooley,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Brian,Cooley,ROLE_STUDENT,Brian.Cooley@gmail.com,(303) 731-9503,,3,null,1,Casey,Cooley,ccooley@icloud.com,(303) 678-1638,North High School,NINTH,697282513,226203,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
89,iperry,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Irma,Perry,ROLE_STUDENT,Irma.Perry@gmail.com,(303) 455-9316,,3,null,1,Edward,Perry,Edward.Perry@gmail.com,(720) 030-6923,Florence Crittenton High School,TENTH,689822310,030275,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
90,twalker,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Tammy,Walker,ROLE_STUDENT,walker997@gmail.com,(303) 349-1708,,3,null,1,Cherrie,Alexander,calexander@aol.com,(720) 295-0758,Compassion Road Academy,TWELFTH,729669637,197688,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
91,swatson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Stacy,Watson,ROLE_STUDENT,null,(720) 799-5776,,3,null,0,James,Watson,James.Watson@yahoo.com,(303) 767-3145,Merrill Middle School,SIXTH,735073776,794712,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
92,ariley,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Adelaide,Riley,ROLE_STUDENT,Adelaide.Riley@aol.com,(303) 222-1518,,3,null,1,John,Riley,John.Riley@gmail.com,(720) 751-8227,George Washington High School,ELEVENTH,234657110,325904,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
93,rgallagher,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Russell,Gallagher,ROLE_STUDENT,null,(720) 869-0551,,3,null,0,Thelma,Gallagher,tgallagher@icloud.com,(720) 995-9124,Merrill Middle School,SEVENTH,858933137,537908,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
94,bwatts,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Brandy,Watts,ROLE_STUDENT,null,(720) 214-8141,,3,null,0,Jimmy,Watts,Jimmy.Watts@outlook.com,(303) 547-3776,"Dr. Martin Luther King, Jr. Early College Middle School",SIXTH,709790338,727667,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
95,jwilkerson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jewell,Wilkerson,ROLE_STUDENT,jwilkerson@gmail.com,(303) 629-1587,,3,null,1,Roy,Wilkerson,Roy.Wilkerson@yahoo.com,(720) 195-5648,George Washington High School,TWELFTH,673202426,745133,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
96,dwinger,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Dennis,Winger,ROLE_STUDENT,winger5211@outlook.com,(303) 524-5070,,3,null,1,Ron,Harr,rharr@gmail.com,(720) 527-1472,Florence Crittenton High School,TWELFTH,957517996,189192,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
97,lgeiger,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lucia,Geiger,ROLE_STUDENT,lgeiger@gmail.com,(720) 729-1033,,3,null,1,Jeanette,Geiger,jgeiger@gmail.com,(720) 915-3300,North High School,TENTH,693251381,300055,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
98,jriggs,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joann,Riggs,ROLE_STUDENT,Joann.Riggs@yahoo.com,(720) 464-5860,,3,null,1,Maryann,Riggs,mriggs@gmail.com,(720) 858-8587,Florence Crittenton High School,TENTH,141333281,301261,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
99,hriendeau,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Helene,Riendeau,ROLE_STUDENT,Helene.Riendeau@gmail.com,(720) 638-6375,,3,null,1,Beverly,Riendeau,riendeau126@yahoo.com,(720) 960-7721,North High School,NINTH,503706570,889632,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
100,kschleicher,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Kenny,Schleicher,ROLE_STUDENT,schleicher7963@outlook.com,(720) 503-2676,,3,null,1,Robert,Schleicher,Robert.Schleicher@gmail.com,(303) 193-7074,George Washington High School,NINTH,679407450,371708,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
101,cpurvis,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Christopher,Purvis,ROLE_STUDENT,null,(303) 614-0807,,3,null,0,Tiffany,Purvis,Tiffany.Purvis@gmail.com,(303) 517-8610,Kepner Beacon Middle School,EIGHTH,822210328,169765,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
102,jgoodman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Joel,Goodman,ROLE_STUDENT,null,(303) 203-5882,,3,null,0,Judy,Goodman,Judy.Goodman@outlook.com,(720) 449-9005,Merrill Middle School,EIGHTH,544251846,540664,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
103,jross,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,James,Ross,ROLE_STUDENT,James.Ross@outlook.com,(720) 574-1971,,3,null,1,Ashley,Dennis,Ashley.Dennis@icloud.com,(720) 090-3561,Abraham Lincoln High School,ELEVENTH,996058546,094533,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
104,cyoung,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Christine,Young,ROLE_STUDENT,Christine.Young@gmail.com,(303) 966-7697,,3,null,1,Javier,Young,Javier.Young@yahoo.com,(303) 805-3678,Emily Griffith High School,TWELFTH,381831646,541954,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
105,mnewman,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Michael,Newman,ROLE_STUDENT,mnewman@gmail.com,(303) 289-1524,,3,null,1,Lillian,Newman,lnewman@gmail.com,(720) 290-5674,Abraham Lincoln High School,ELEVENTH,364672941,651108,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
106,eavila,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Eva,Avila,ROLE_STUDENT,Eva.Avila@gmail.com,(303) 769-6480,,3,null,1,Andrew,Avila,aavila@yahoo.com,(303) 119-6101,Compassion Road Academy,TWELFTH,266068903,959634,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
107,bjohnson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Bridget,Johnson,ROLE_STUDENT,Bridget.Johnson@yahoo.com,(720) 307-4130,,3,null,1,James,Johnson,johnson4158@aol.com,(720) 945-1265,North High School,TENTH,992874808,268055,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
108,wneizer,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,William,Neizer,ROLE_STUDENT,neizer147@outlook.com,(303) 636-5589,,3,null,1,Jeffrey,Neizer,neizer3967@gmail.com,(720) 938-2591,Florence Crittenton High School,TWELFTH,390520589,846612,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
109,pflores,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Patricia,Flores,ROLE_STUDENT,pflores@gmail.com,(303) 493-3404,,3,null,1,Kristen,Flores,kflores@gmail.com,(720) 730-2940,Florence Crittenton High School,TWELFTH,720626418,089394,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
110,gsydnor,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Grace,Sydnor,ROLE_STUDENT,Grace.Sydnor@icloud.com,(720) 922-1318,,3,null,1,Gertrude,Sydnor,sydnor6602@gmail.com,(720) 093-1483,Compassion Road Academy,TENTH,093688648,378718,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
111,rknapp,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Ryan,Knapp,ROLE_STUDENT,knapp764@gmail.com,(720) 703-7555,,3,null,1,Kathleen,Knapp,kknapp@gmail.com,(303) 505-6762,Compassion Road Academy,NINTH,579032553,926129,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
112,ngallagher,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Nathan,Gallagher,ROLE_STUDENT,Nathan.Gallagher@outlook.com,(303) 272-4674,,3,null,1,Rose,Gallagher,Rose.Gallagher@gmail.com,(720) 571-0283,Bruce Randolph High School,TENTH,051511929,320018,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
113,mgallimore,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Mildred,Gallimore,ROLE_STUDENT,null,(303) 462-2531,,3,null,0,Amanda,Gallimore,Amanda.Gallimore@gmail.com,(720) 032-2751,Skinner Middle School,EIGHTH,495403183,657468,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
114,charrington,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Carol,Harrington,ROLE_STUDENT,null,(303) 140-7904,,3,null,0,Emily,Harrington,harrington1713@gmail.com,(303) 779-4292,Summit Academy Middle School,EIGHTH,393869281,314663,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
115,nhood,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Nicole,Hood,ROLE_STUDENT,null,(303) 372-3119,,3,null,0,Cathie,Hood,chood@aol.com,(720) 553-3576,Bruce Randolph Middle School,SIXTH,653062571,553852,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
116,kcron,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Karan,Cron,ROLE_STUDENT,null,(720) 007-0096,,3,null,0,Brandon,Cron,Brandon.Cron@yahoo.com,(720) 050-5198,Skinner Middle School,EIGHTH,742989040,115763,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
117,adaily,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Alice,Daily,ROLE_STUDENT,Alice.Daily@gmail.com,(720) 600-3759,,3,null,1,Natasha,Daily,Natasha.Daily@yahoo.com,(720) 542-9254,Compassion Road Academy,NINTH,400218029,723050,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
118,kspringfield,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Kathleen,Springfield,ROLE_STUDENT,kspringfield@gmail.com,(720) 883-0409,,3,null,1,Phyllis,Springfield,Phyllis.Springfield@gmail.com,(720) 837-8704,George Washington High School,TENTH,068362547,749032,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
119,eobrien,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Edward,Obrien,ROLE_STUDENT,Edward.Obrien@gmail.com,(720) 225-1746,,3,null,1,Ken,Obrien,obrien3353@yahoo.com,(303) 774-1041,North High School,TWELFTH,419894250,254231,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
120,hblack,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Hazel,Black,ROLE_STUDENT,black3290@yahoo.com,(720) 556-9269,,3,null,1,Robert,Black,rblack@gmail.com,(720) 091-2524,Emily Griffith High School,NINTH,855468611,733469,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
121,jdevoe,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,James,Devoe,ROLE_STUDENT,null,(303) 760-1768,,3,null,0,Steven,Devoe,Steven.Devoe@icloud.com,(720) 992-8845,Byers Middle School,EIGHTH,054724803,619911,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
122,kdoucet,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Kenneth,Doucet,ROLE_STUDENT,null,(720) 832-4682,,3,null,0,Jim,Doucet,jdoucet@gmail.com,(720) 148-1596,Skinner Middle School,EIGHTH,847738380,863496,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
123,sandersen,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Scott,Andersen,ROLE_STUDENT,null,(303) 133-8925,,3,null,0,Estelle,Andersen,eandersen@icloud.com,(720) 852-0293,Byers Middle School,SIXTH,422665017,774506,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
124,awarden,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Antonio,Warden,ROLE_STUDENT,awarden@gmail.com,(303) 443-6032,,3,null,1,Elizabeth,Warden,ewarden@gmail.com,(720) 570-2544,Dr. Martin Luther King Jr. Early College High School,TENTH,438432408,990813,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
125,jmiller,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Jefferey,Miller,ROLE_STUDENT,Jefferey.Miller@sbcglobal.net,(720) 664-0275,,3,null,1,Sharon,Miller,smiller@gmail.com,(720) 889-9840,John F. Kennedy High School,ELEVENTH,810123903,861389,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
126,fperry,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Frank,Perry,ROLE_STUDENT,Frank.Perry@yahoo.com,(720) 256-3925,,3,null,1,Terrence,Perry,tperry@aol.com,(303) 227-8258,Compassion Road Academy,ELEVENTH,526642404,309451,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
127,emize,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Edward,Mize,ROLE_STUDENT,Edward.Mize@gmail.com,(303) 899-0475,,3,null,1,Marjorie,Mize,Marjorie.Mize@gmail.com,(720) 213-2642,North High School,TWELFTH,841396022,510871,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
128,mkim,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Michelle,Kim,ROLE_STUDENT,Michelle.Kim@gmail.com,(303) 112-3236,,3,null,1,Louise,Kim,Louise.Kim@gmail.com,(720) 600-6734,Emily Griffith High School,TENTH,937670262,346152,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
129,keugenio,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Kevin,Eugenio,ROLE_STUDENT,Kevin.Eugenio@outlook.com,(720) 179-1818,,3,null,1,Paul,Eugenio,eugenio8334@outlook.com,(720) 456-1626,Dr. Martin Luther King Jr. Early College High School,NINTH,298456533,348822,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
130,vlamb,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Valarie,Lamb,ROLE_STUDENT,null,(303) 442-4210,,3,null,0,Kenny,Lamb,klamb@gmail.com,(720) 668-9196,Wyatt Academy Middle School,SEVENTH,042096834,542198,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
131,lnittler,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Lonnie,Nittler,ROLE_STUDENT,Lonnie.Nittler@yahoo.com,(720) 588-8666,,3,null,1,Michelle,Nittler,Michelle.Nittler@yahoo.com,(303) 575-2095,East High School,TENTH,962968019,400921,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
132,arice,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Andrew,Rice,ROLE_STUDENT,rice1903@icloud.com,(303) 592-3386,,3,null,1,William,Rice,rice3552@outlook.com,(720) 255-8639,Emily Griffith High School,TENTH,396043303,295572,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
133,mrichardson,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Mary,Richardson,ROLE_STUDENT,null,(720) 197-4821,,3,null,0,Joseph,Richardson,jrichardson@yahoo.com,(303) 051-5033,Wyatt Academy Middle School,SEVENTH,909931376,182143,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
134,basuncion,$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC,Bruce,Asuncion,ROLE_STUDENT,basuncion@icloud.com,(720) 188-2962,,3,null,1,Adelaide,Asuncion,Adelaide.Asuncion@aol.com,(720) 136-6270,East High School,ELEVENTH,845358600,422674,SYSTEM,2017-09-01T12:00:00,SYSTEM,2017-09-01T12:00:00
