id,street_address_1,street_address_2,city,state,postal_code,user_id
1,3051 St Paul St,Unit B,Denver,COLORADO,80205,1
452,3501 St Paul St,Unit B,Denver,COLORADO,80655,452
453,3502 St Paul St,Unit B,Denver,COLORADO,80656,453
454,3503 St Paul St,Unit B,Denver,COLORADO,80657,454
455,3504 St Paul St,Unit B,Denver,COLORADO,80658,455
456,3505 St Paul St,Unit B,Denver,COLORADO,80659,456
457,3506 St Paul St,Unit B,Denver,COLORADO,80660,457
458,3507 St Paul St,Unit B,Denver,COLORADO,80661,458
459,3508 St Paul St,Unit B,Denver,COLORADO,80662,459
460,3509 St Paul St,Unit B,Denver,COLORADO,80663,460
461,3510 St Paul St,Unit B,Denver,COLORADO,80664,461
462,3511 St Paul St,Unit B,Denver,COLORADO,80665,462
463,3512 St Paul St,Unit B,Denver,COLORADO,80666,463
464,3513 St Paul St,Unit B,Denver,COLORADO,80667,464
465,3514 St Paul St,Unit B,Denver,COLORADO,80668,465
466,3515 St Paul St,Unit B,Denver,COLORADO,80669,466
467,3516 St Paul St,Unit B,Denver,COLORADO,80670,467
468,3517 St Paul St,Unit B,Denver,COLORADO,80671,468
469,3518 St Paul St,Unit B,Denver,COLORADO,80672,469
470,3519 St Paul St,Unit B,Denver,COLORADO,80673,470
471,3520 St Paul St,Unit B,Denver,COLORADO,80674,471
472,3521 St Paul St,Unit B,Denver,COLORADO,80675,472
473,3522 St Paul St,Unit B,Denver,COLORADO,80676,473
474,3523 St Paul St,Unit B,Denver,COLORADO,80677,474
475,3524 St Paul St,Unit B,Denver,COLORADO,80678,475
476,3525 St Paul St,Unit B,Denver,COLORADO,80679,476
477,3526 St Paul St,Unit B,Denver,COLORADO,80680,477
478,3527 St Paul St,Unit B,Denver,COLORADO,80681,478
479,3528 St Paul St,Unit B,Denver,COLORADO,80682,479
480,3529 St Paul St,Unit B,Denver,COLORADO,80683,480
481,3530 St Paul St,Unit B,Denver,COLORADO,80684,481
482,3531 St Paul St,Unit B,Denver,COLORADO,80685,482
483,3532 St Paul St,Unit B,Denver,COLORADO,80686,483
484,3533 St Paul St,Unit B,Denver,COLORADO,80687,484
485,3534 St Paul St,Unit B,Denver,COLORADO,80688,485
486,3535 St Paul St,Unit B,Denver,COLORADO,80689,486
487,3536 St Paul St,Unit B,Denver,COLORADO,80690,487
488,3537 St Paul St,Unit B,Denver,COLORADO,80691,488
489,3538 St Paul St,Unit B,Denver,COLORADO,80692,489
490,3539 St Paul St,Unit B,Denver,COLORADO,80693,490
491,3540 St Paul St,Unit B,Denver,COLORADO,80694,491
492,3541 St Paul St,Unit B,Denver,COLORADO,80695,492
493,3542 St Paul St,Unit B,Denver,COLORADO,80696,493
494,3543 St Paul St,Unit B,Denver,COLORADO,80697,494
495,3544 St Paul St,Unit B,Denver,COLORADO,80698,495
496,3545 St Paul St,Unit B,Denver,COLORADO,80699,496
497,3546 St Paul St,Unit B,Denver,COLORADO,80700,497
498,3547 St Paul St,Unit B,Denver,COLORADO,80701,498
499,3548 St Paul St,Unit B,Denver,COLORADO,80702,499
500,3549 St Paul St,Unit B,Denver,COLORADO,80703,500
501,3550 St Paul St,Unit B,Denver,COLORADO,80704,501
502,3551 St Paul St,Unit B,Denver,COLORADO,80705,502
503,3552 St Paul St,Unit B,Denver,COLORADO,80706,503
504,3553 St Paul St,Unit B,Denver,COLORADO,80707,504
